Type,Num,Heure,Destination,Information,Voie
Transilien,124687,22h26,PERSAN-BT.,Retard : 20 mn,34
Transilien,124687,22h26,VIA VALMOND,Retard : 20 mn,34
Transilien,125795,22h34,PERSAN-BT.,,30
TER,847919,22h37,ST-QUENTIN,,19
Transilien,123599,22h41,PONTOISE,,34
Transilien,121655,22h51,CREPY,,
Transilien,124689,22h56,PERSAN-BT.,,
Transilien,124689,22h56,VIA VALMOND,,
Transilien,125503,23h04,LUZARCHES,,
Transilien,123601,23h11,PONTOISE,,
Transilien,120691,23h26,SARCELLES,,
Transilien,125797,23h34,PERSAN-BT.,,
Transilien,125799,00h04,PERSAN-BT.,,
Transilien,125801,00h49,PERSAN-BT.,,
,EEVE01,04h53,CDG2,,
Transilien,125401,05h19,LUZARCHES,,
Transilien,124301,05h26,VALMONDOIS,,
Transilien,125701,05h34,PERSAN-BT.,,
,796307,05h37,VIDE,,
Transilien,123401,05h41,PONTOISE,,
