Type,Num,Heure,Destination,Information,Voie
Transilien,125749,15h34,PERSAN-BT.,,30
Transilien,123481,15h41,PONTOISE,,34
,7559,15h46,BOULOGNE,,
Transilien,125455,15h49,LUZARCHES,,31
Transilien,124635,15h56,PERSAN-BT.,,
Transilien,125067,15h58,SARCELLES,,
Thalys,9361,16h01,BRUXELLES-M.,,
Thalys,9461,16h01,KOLN,,
Intercités,12015,16h04,AMIENS,,
TER,847427,16h05,BEAUVAIS,,
TER,847907,16h07,ST-QUENTIN,,
Transilien,121551,16h09,CREPY,,
Transilien,125753,16h10,PERSAN-BT.,,
TER,848517,16h10,ST-JUST,,
Transilien,123485,16h11,PONTOISE,,
Transilien,125069,16h13,SARCELLES,,
Eurostar,9043,16h13,LONDON,,
Transilien,124011,16h15,ST-LEU,,
TGV,7061,16h16,LILLE FLANDR,,
,7335,16h22,DUNKERQUE,,
