Type,Num,Heure,Destination,Information,Voie
Intercités,12005,07h28,AMIENS,Retard : 05 mn,18
Transilien,124611,07h30,PERSAN-BT.,,34
TER,847407,07h35,BEAUVAIS,,21
Intercités,12301,07h37,MAUBEUGE,,15
Transilien,125723,07h40,PERSAN-BT.,,31
Transilien,123427,07h41,PONTOISE,,35
Transilien,125017,07h43,SARCELLES,,30
,9009,07h43,LONDON ST P.,,..
Transilien,124005,07h45,ST-LEU,,34
,7513,07h46,BOULOGNE-V,,
,7511,07h46,DUNKERQUE,,
TER,847605,07h49,CREIL,,19
,7305,07h52,DUNKERQUE,,
TGV,7105,07h52,VALENCIENNES,,
Transilien,125429,07h55,LUZARCHES,,
Transilien,123433,07h56,PONTOISE,,
Transilien,125021,07h58,SARCELLES,,
Transilien,121515,08h00,CREPY,,
Transilien,124615,08h00,PERSAN-BT.,,
Thalys,9313,08h01,BRUXELLES-M.,,
