Type,Num,Heure,Destination,Information,Voie
Transilien,123477,14h41,PONTOISE,Retard : 15 mn,31
TER,849923,14h46,LAON,,21
Transilien,125223,14h49,MONTSOULT-M.,,35
Transilien,124631,14h56,PERSAN-BT.,,34
Transilien,125453,15h04,LUZARCHES,,30
Transilien,123479,15h11,PONTOISE,,
Eurostar,9039,15h13,LONDON,,
TGV,7053,15h16,LILLE FLANDR,,
Transilien,125225,15h19,MONTSOULT-M.,,
Thalys,9357,15h25,AMSTERDAM,,
Transilien,124633,15h26,PERSAN-BT.,,
TER,849925,15h30,LAON,,
Transilien,125749,15h34,PERSAN-BT.,,
Transilien,123481,15h41,PONTOISE,,
,7559,15h46,BOULOGNE,,
Transilien,125455,15h49,LUZARCHES,,
Transilien,124635,15h56,PERSAN-BT.,,
Transilien,125067,15h58,SARCELLES,,
Thalys,9361,16h01,BRUXELLES-M.,,
Thalys,9461,16h01,KOLN,,
