Type,Num,Heure,Destination,Information,Voie
Transilien,123401,05h41,PONTOISE,,34
Transilien,125405,05h49,LUZARCHES,,30
Transilien,124303,05h56,VALMONDOIS,,34
Transilien,125001,05h58,SARCELLES,,31
Thalys,9401,06h01,ESSEN,,
TER,849903,06h03,LAON,,
TER,847401,06h05,BEAUVAIS,,
Transilien,125707,06h10,PERSAN-BT.,,
Transilien,123403,06h11,PONTOISE,,
Transilien,125003,06h13,SARCELLES,,
Transilien,125413,06h25,LUZARCHES,,
Thalys,9403,06h25,BRUXELLES,,
Thalys,9403,06h25,AEROPORT,,
Thalys,9303,06h25,AMSTERDAM,,
Transilien,124605,06h26,PERSAN-BT.,,
Intercités,12001,06h28,AMIENS,,
Transilien,125005,06h28,SARCELLES,,
TER,847901,06h31,ST-QUENTIN,,
TER,847405,06h35,BEAUVAIS,,
Transilien,125713,06h40,PERSAN-BT.,,
