Type,Num,Heure,Destination,Information,Voie
Transilien,124609,07h00,PERSAN-BT.,,34
TER,849907,07h05,LAON,,20
Transilien,125717,07h10,PERSAN-BT.,,31
TER,848501,07h10,ST-JUST,,18
Transilien,123417,07h11,PONTOISE,,35
Transilien,125011,07h13,SARCELLES,,30
Eurostar,9007,07h13,LONDON ST P.,,..
Transilien,124003,07h15,ST-LEU,,34
,7007,07h16,LILLE FLANDR,,
Transilien,125423,07h25,LUZARCHES,,
Thalys,9409,07h25,BRUXELLES-M.,,
Thalys,9309,07h25,AMSTERDAM,,
Transilien,123423,07h26,PONTOISE,,
Intercités,12005,07h28,AMIENS,Retard : 05 mn,
Transilien,125015,07h28,SARCELLES,,
Transilien,124611,07h30,PERSAN-BT.,,
TER,847601,07h31,CREIL,,
TER,847407,07h35,BEAUVAIS,,
Intercités,12301,07h37,MAUBEUGE,,
Transilien,125723,07h40,PERSAN-BT.,,
