Type,Num,Heure,Destination,Information,Voie
Transilien,125435,08h25,LUZARCHES,,31
Thalys,9315,08h25,AMSTERDAM,,8
Transilien,123443,08h26,PONTOISE,,35
Intercités,12007,08h28,AMIENS,,13
Transilien,125027,08h28,SARCELLES,,30
Transilien,124617,08h30,PERSAN-BT.,,34
TER,849911,08h34,LAON,,20
Transilien,125733,08h40,PERSAN-BT.,,31
Transilien,123447,08h41,PONTOISE,,
Transilien,125029,08h43,SARCELLES,,
,9013,08h43,LONDON ST P.,,..
Transilien,124009,08h45,ST-LEU,,
TGV,7021,08h46,LILLE FLANDR,,
TER,847803,08h49,COMPIEGNE,,17
TER,847411,08h50,BEAUVAIS,,
Transilien,125437,08h55,LUZARCHES,,
Transilien,123453,08h56,PONTOISE,,
Transilien,125035,08h58,SARCELLES,,
Transilien,124621,09h00,PERSAN-BT.,,
Thalys,9319,09h01,BRUXELLES-M.,,
