Type,Num,Heure,Destination,Information,Voie
Transilien,123403,06h11,VIDE,,34
TER,847405,06h35,BEAUVAIS,,18
Transilien,125713,06h40,PERSAN-BT.,,31
Transilien,121505,06h41,CREPY,,32
Transilien,123409,06h41,PONTOISE,,35
Transilien,125007,06h43,SARCELLES,,30
Transilien,124001,06h45,ST-LEU,,34
,7505,06h46,BOULOGNE-V,,
,7205,06h46,DUNKERQUE,,
TER,847801,06h49,COMPIEGNE,,19
Transilien,125417,06h55,LUZARCHES,,
Thalys,9305,06h55,BRUXELLES-M.,,
Transilien,123413,06h56,PONTOISE,,
Transilien,125009,06h58,SARCELLES,,
Intercités,2003,06h58,ABBEVILLE,,
Transilien,124609,07h00,PERSAN-BT.,,
TER,849907,07h05,LAON,,
Transilien,125717,07h10,PERSAN-BT.,,
TER,848501,07h10,ST-JUST,,
Transilien,123417,07h11,PONTOISE,,
