Type,Num,Heure,Destination,Information,Voie
Transilien,123459,10h11,PONTOISE,,34
,796063,10h13,VIDE,,32
Eurostar,9019,10h13,LONDON,,..
Transilien,125205,10h19,MONTSOULT-M.,,31
Thalys,9327,10h25,AMSTERDAM,,8
Transilien,124311,10h26,VALMONDOIS,,36
Transilien,125739,10h34,PERSAN-BT.,,
Intercités,12307,10h37,MAUBEUGE,,15
Transilien,123461,10h41,PONTOISE,,
TGV,7033,10h46,LILLE FLANDR,,
Transilien,125207,10h49,MONTSOULT-M.,,
TER,847805,10h49,COMPIEGNE,,
TGV,7113,10h52,VALENCIENNES,,
Transilien,124625,10h56,PERSAN-BT.,,
TER,847417,11h01,BEAUVAIS,,
Transilien,125445,11h04,LUZARCHES,,
TER,848507,11h10,ST-JUST,,
Transilien,123463,11h11,PONTOISE,,
Eurostar,9023,11h13,LONDON ST P.,,
Transilien,125209,11h19,MONTSOULT-M.,,
