Type,Num,Heure,Destination,Information,Voie
Transilien,124643,16h53,PERSAN-BT.,,36
Transilien,124643,16h53,VIA VALMOND,,36
Transilien,125465,16h55,LUZARCHES,,30
Thalys,9365,16h55,BRUXELLES-M.,,7
Transilien,123507,16h56,PONTOISE,,35
Transilien,125079,16h58,SARCELLES,,31
Transilien,124017,17h00,ST-LEU,,33
Intercités,2017,17h01,BOULOGNE-V.,,17
TER,847909,17h04,ST-QUENTIN,,13
TER,847433,17h05,BEAUVAIS,,18
TER,848523,17h07,AMIENS,,
Transilien,124335,17h08,VALMONDOIS,,36
Transilien,125763,17h10,PERSAN-BT.,,31
Transilien,123513,17h11,PONTOISE,,
Transilien,125081,17h13,SARCELLES,,
Eurostar,9047,17h13,LONDON ST P.,,
Transilien,121571,17h15,CREPY,,
Transilien,124019,17h15,ST-LEU,,
,7067,17h16,LILLE FLANDR,,
TER,847815,17h19,COMPIEGNE,,
