Type,Num,Heure,Destination,Information,Voie
Transilien,121655,22h51,CREPY,,32
Transilien,124689,22h56,PERSAN-BT.,,35
Transilien,124689,22h56,VIA VALMOND,,35
Transilien,125503,23h04,LUZARCHES,,30
Transilien,123601,23h11,PONTOISE,,
Transilien,120691,23h26,SARCELLES,,
Transilien,125797,23h34,PERSAN-BT.,,
Transilien,125799,00h11,PERSAN-BT.,,
Transilien,125801,00h49,PERSAN-BT.,,
,EEVE01,04h53,CDG2,,
Transilien,125401,05h19,LUZARCHES,,
Transilien,124301,05h26,VALMONDOIS,,
Transilien,125701,05h34,PERSAN-BT.,,
,796307,05h37,VIDE,,
Transilien,123401,05h41,PONTOISE,,
Transilien,125405,05h49,LUZARCHES,,
Transilien,124303,05h56,VALMONDOIS,,
Thalys,9401,05h57,ESSEN,,
Transilien,125001,05h58,SARCELLES,,
TER,849903,06h03,LAON,,
