Type,Num,Heure,Destination,Information,Voie
Transilien,121581,18h01,CREPY,,32
TER,847911,18h04,ST-QUENTIN,,14
TER,847439,18h05,BEAUVAIS,,18
TER,848527,18h07,AMIENS,,
Transilien,124345,18h08,VALMONDOIS,,36
Transilien,125773,18h10,PERSAN-BT.,,31
Transilien,123541,18h11,PONTOISE,,35
Transilien,125093,18h13,SARCELLES,,30
Eurostar,9051,18h13,LONDON,,..
Transilien,124027,18h15,ST-LEU,,34
,7271,18h16,TOURCOING,,
,7471,18h16,LILLE FLAND,,
TER,847819,18h19,COMPIEGNE,,20
TGV,7343,18h22,HAZEBROUCK,,
Transilien,124661,18h23,PERSAN-BT.,,
Transilien,124661,18h23,VIA VALMOND,,
Transilien,125481,18h25,LUZARCHES,,
Thalys,9375,18h25,OOSTENDE,,
Transilien,123549,18h26,PONTOISE,,
Transilien,125097,18h28,SARCELLES,,
