Type,Num,Heure,Destination,Information,Voie
Transilien,123463,11h11,PONTOISE,,32
Eurostar,9023,11h13,LONDON ST P.,,..
Transilien,125209,11h19,MONTSOULT-M.,,30
Thalys,9333,11h25,BRUXELLES-M.,,8
Transilien,124313,11h26,VALMONDOIS,,32
Transilien,125741,11h34,PERSAN-BT.,,
Transilien,123465,11h41,PONTOISE,,
,7535,11h46,RANG DU FLIE,,
Transilien,125211,11h49,MONTSOULT-M.,,
Transilien,124627,11h56,PERSAN-BT.,,
TER,849917,11h58,LAON,,
TER,847419,12h01,BEAUVAIS,,
Thalys,9437,12h01,ESSEN,,
Transilien,125447,12h04,LUZARCHES,,
Intercités,12309,12h07,ST-QUENTIN,,
TER,847609,12h10,CREIL,,
Transilien,123467,12h11,PONTOISE,,
Transilien,121537,12h13,CREPY,,
Transilien,125213,12h19,MONTSOULT-M.,,
Thalys,9339,12h25,AMSTERDAM,,
