Type,Num,Heure,Destination,Information,Voie
Transilien,124649,17h23,PERSAN-BT.,,36
Transilien,124649,17h23,VIA VALMOND,,36
Transilien,125471,17h25,LUZARCHES,,31
Thalys,9469,17h25,BRUXELLES-M.,,9
Thalys,9369,17h25,AMSTERDAM,,9
Transilien,123521,17h26,PONTOISE,,35
Transilien,125085,17h28,SARCELLES,,30
TER,848525,17h28,AMIENS,,15
Transilien,124021,17h30,ST-LEU,,34
Transilien,121575,17h31,CREPY,,33
TER,847435,17h35,BEAUVAIS,,20
Intercités,2315,17h37,CAMBRAI,,16
Transilien,124341,17h38,VALMONDOIS,,36
Transilien,125769,17h40,PERSAN-BT.,,31
Transilien,123527,17h41,PONTOISE,,
Transilien,125087,17h43,SARCELLES,,
Transilien,124023,17h45,ST-LEU,,
,7569,17h46,RANG-DU-FLIE,,
,7269,17h46,DUNKERQUE,,
TER,847817,17h49,COMPIEGNE,,
