Type,Num,Heure,Destination,Information,Voie
Transilien,125217,13h19,MONTSOULT-M.,,30
Transilien,125745,13h34,PERSAN-BT.,,31
Transilien,123473,13h41,PONTOISE,,32
Transilien,125219,13h49,MONTSOULT-M.,,30
Transilien,124319,13h56,VALMONDOIS,,
Intercités,2013,13h59,ABBEVILLE,,
TER,847423,14h01,BEAUVAIS,,
Transilien,125451,14h04,LUZARCHES,,
TER,847905,14h07,ST-QUENTIN,,
Transilien,123475,14h11,PONTOISE,,
Transilien,125221,14h19,MONTSOULT-M.,,
TER,847613,14h19,CREIL,,
Thalys,9451,14h25,BRUXELLES-M.,,
Thalys,9351,14h25,AMSTERDAM,,
Transilien,124321,14h26,VALMONDOIS,,
Transilien,125747,14h34,PERSAN-BT.,,
Intercités,12311,14h37,ST-QUENTIN,,
Transilien,123477,14h41,PONTOISE,,
,9037,14h43,LONDON ST P.,,
TER,849923,14h46,LAON,,
