Type,Num,Heure,Destination,Information,Voie
Thalys,9484,21h59,ESSEN,Retard : 25 mn,10
Eurostar,9050,22h17,LONDON,Retard : 20 mn,3
Eurostar,9050,22h17,ST PANCRAS,Retard : 20 mn,3
Thalys,9488,22h35,BRUXELLES,Retard : 15 mn,
Thalys,9388,22h35,AMSTERDAM,Retard : 15 mn,
TGV,7096,22h38,LILLE FLANDR,Retard : 40 mn,
TER,849950,22h57,LAON,,
Eurostar,9054,23h17,LONDON,,
Eurostar,9054,23h17,ST PANCRAS,,
TER,848536,23h32,CREIL,,
TER,847802,06h11,COMPIEGNE,,
TER,847402,06h25,BEAUVAIS,,
TER,849900,06h40,LAON,,
TER,848502,06h50,LONGUEAU,,
Intercités,12300,06h53,ST-QUENTIN,,
TER,847406,06h55,BEAUVAIS,,
Intercités,12002,06h56,AMIENS,,
TGV,7000,07h08,LILLE FLANDR,,
TGV,7000,07h08,ARRAS,,
TER,849902,07h10,LAON,,
