Type,Num,Heure,Destination,Information,Voie
Thalys,9464,18h35,BRUXELLES,ARRIVÉ,8
Thalys,9364,18h35,AMSTERDAM,ARRIVÉ,8
TER,849936,18h40,LAON,,20
TGV,7074,18h44,LILLE FLANDR,,16
Eurostar,9036,18h47,LONDON,,4
Eurostar,9036,18h47,ST PANCRAS,,4
TER,848526,18h50,ST-JUST,ARRIVÉ,19
Intercités,12326,18h53,ST-QUENTIN,,17
TER,847444,18h53,BEAUVAIS,,21
Thalys,9366,18h59,BRUXELLES-M.,,9
TGV,7148,19h08,VALENCIENNES,,
TGV,7348,19h08,DUNKERQUE-V.,,
TER,847826,19h11,COMPIEGNE,,
,7076,19h14,LILLE FLANDR,,
Intercités,12328,19h23,ST-QUENTIN,,
TER,847446,19h23,BEAUVAIS,,
Intercités,12030,19h32,AMIENS,,
Thalys,9370,19h35,BRUXELLES-M.,,
TER,849940,19h39,LAON,,
TGV,7082,19h44,LILLE FLANDR,,
