Type,Num,Heure,Destination,Information,Voie
TER,848502,06h50,LONGUEAU,,18
Intercités,12300,06h53,ST-QUENTIN,,15
TER,847406,06h55,BEAUVAIS,,21
Intercités,12002,06h56,AMIENS,,16
TGV,7000,07h08,LILLE FLANDR,,
TGV,7000,07h08,ARRAS,,
TER,849902,07h10,LAON,,
TER,847804,07h11,COMPIEGNE,,
TER,847606,07h23,CREIL,,
TER,847408,07h25,BEAUVAIS,,
Intercités,12302,07h26,MAUBEUGE,,
Intercités,12004,07h32,AMIENS,,
Thalys,9300,07h35,BRUXELLES-M.,,
TGV,7100,07h38,VALENCIENNES,,
TGV,7406,07h44,LILLE FLANDR,,
TGV,7206,07h44,TOURCOING,,
TER,847806,07h47,COMPIEGNE,,
TER,848504,07h50,AMIENS,,
TER,847904,07h53,ST-QUENTIN,,
TER,847414,07h55,BEAUVAIS,,
