Type,Num,Heure,Destination,Information,Voie
Thalys,9308,09h05,OOSTENDE,ARRIVÉ,7
,7106,09h08,VALENCIENNES,,13
TER,847810,09h11,COMPIEGNE,ARRIVÉ,10
,7228,09h14,RANGDUFLIERS,,11
,9080,09h17,LONDON,Retard : 05 mn,6
,9080,09h17,ST PANCRAS,Retard : 05 mn,6
Intercités,12308,09h23,MAUBEUGE,,12
TER,849912,09h27,LAON,,
Thalys,9410,09h35,BRUXELLES,Retard : 10 mn,
Thalys,9310,09h35,AMSTERDAM,Retard : 10 mn,
Intercités,12012,09h41,AMIENS,,
,7530,09h44,DUNKERQUE-V.,,
TER,847812,09h47,COMPIEGNE,,
Intercités,2014,09h56,BOULOGNE-V.,,
TER,847422,09h57,BEAUVAIS,,
Thalys,9412,09h59,ESSEN,,
,7536,10h14,RANGDUFLIERS,,
Eurostar,9004,10h17,LONDON,,
Eurostar,9004,10h17,ST PANCRAS,,
Thalys,9316,10h35,BRUXELLES-M.,,
