Type,Num,Heure,Destination,Information,Voie
TGV,7154,21h08,VALENCIENNES,SUPPRIMÉ,
Eurostar,9046,21h17,LONDON,ARRIVÉ,5
Eurostar,9046,21h17,ST PANCRAS,ARRIVÉ,5
TER,847454,21h27,BEAUVAIS,ARRIVÉ,19
Intercités,12034,21h32,AMIENS,Retard : 15 mn,12
Thalys,9382,21h38,AMSTERDAM,,8
TER,847830,21h41,COMPIEGNE,,
,9048,21h47,LONDON,Retard : 20 mn,6
,9048,21h47,ST PANCRAS,Retard : 20 mn,6
Intercités,12332,21h53,MAUBEUGE,,
TER,849946,21h58,LAON,,
Thalys,9484,21h59,ESSEN,,
Eurostar,9050,22h17,LONDON,,
Eurostar,9050,22h17,ST PANCRAS,,
Thalys,9488,22h35,BRUXELLES,,
Thalys,9388,22h35,AMSTERDAM,,
TGV,7096,22h38,LILLE FLANDR,,
TER,849950,22h57,LAON,,
Eurostar,9054,23h17,LONDON,,
Eurostar,9054,23h17,ST PANCRAS,,
