Type,Num,Heure,Destination,Information,Voie
Eurostar,9036,18h47,LONDON,ARRIVÉ,4
Eurostar,9036,18h47,ST PANCRAS,ARRIVÉ,4
Intercités,12326,18h53,ST-QUENTIN,ARRIVÉ,17
Thalys,9366,18h59,BRUXELLES-M.,"Retard : 10 <abbr title=""minute"">mn</abbr>",9
TGV,7148,19h08,VALENCIENNES,,13
TGV,7348,19h08,DUNKERQUE-V.,,13
TER,847826,19h11,COMPIEGNE,,
,7076,19h14,LILLE FLANDR,,
Intercités,12328,19h23,ST-QUENTIN,,
TER,847446,19h23,BEAUVAIS,,
Intercités,12030,19h32,AMIENS,,
Thalys,9370,19h35,BRUXELLES-M.,,
TER,849940,19h39,LAON,,
TGV,7082,19h44,LILLE FLANDR,,
Eurostar,9040,19h47,LONDON,,
Eurostar,9040,19h47,ST PANCRAS,,
TER,848528,19h50,ST-JUST,,
TER,847450,19h53,BEAUVAIS,,
Intercités,2032,19h56,ABBEVILLE,,
Thalys,9472,19h59,KOLN,,
