Type,Num,Heure,Destination,Information,Voie
Intercités,12026,18h32,AMIENS,ARRIVÉ,10
Thalys,9464,18h35,BRUXELLES,"Retard : 10 <abbr title=""minute"">mn</abbr>",8
Thalys,9364,18h35,AMSTERDAM,"Retard : 10 <abbr title=""minute"">mn</abbr>",8
TER,849936,18h40,LAON,,20
TGV,7074,18h44,LILLE FLANDR,,16
Eurostar,9036,18h47,LONDON,,4
Eurostar,9036,18h47,ST PANCRAS,,4
TER,848526,18h50,ST-JUST,,
Intercités,12326,18h53,ST-QUENTIN,,
TER,847444,18h53,BEAUVAIS,,
Thalys,9366,18h59,BRUXELLES-M.,,
TGV,7148,19h08,VALENCIENNES,,
TGV,7348,19h08,DUNKERQUE-V.,,
TER,847826,19h11,COMPIEGNE,,
,7076,19h14,LILLE FLANDR,,
Intercités,12328,19h23,ST-QUENTIN,,
TER,847446,19h23,BEAUVAIS,,
Intercités,12030,19h32,AMIENS,,
Thalys,9370,19h35,BRUXELLES-M.,,
TER,849940,19h39,LAON,,
