Type,Num,Heure,Destination,Information,Voie
Thalys,9448,15h59,ESSEN,Retard : 25 mn,
TGV,7136,16h08,VALENCIENNES,ARRIVÉ,11
TGV,7336,16h08,DUNKERQUE-V.,ARRIVÉ,11
TER,847616,16h11,CREIL,ARRIVÉ,15
TGV,7058,16h14,LILLE FLANDR,ARRIVÉ,14
TER,848522,16h32,AMIENS,,
Thalys,9452,16h35,BRUXELLES,,
Thalys,9352,16h35,AMSTERDAM,,
,9028,16h47,LONDON,,
,9028,16h47,ST PANCRAS,,
Intercités,2022,16h56,BOULOGNE-V.,,
TER,847822,17h11,COMPIEGNE,,
TGV,7066,17h14,LILLE FLANDR,,
Intercités,12322,17h23,MAUBEUGE,SUPPRIMÉ,
Thalys,9358,17h35,BRUXELLES-M.,,
,7070,17h44,LILLE FLANDR,,
,9032,17h47,LONDON,,
,9032,17h47,ST PANCRAS,,
TER,848548,17h50,ST-JUST,,
TER,847438,17h53,BEAUVAIS,,
