Type,Num,Heure,Destination,Information,Voie
Thalys,9328,12h35,AMSTERDAM,Retard : 01 h 15 mn,8
Eurostar,9014,12h47,LONDON,ARRIVÉ,3
Eurostar,9014,12h47,ST PANCRAS,ARRIVÉ,3
TER,847910,12h53,ST-QUENTIN,ARRIVÉ,11
Intercités,2018,12h56,ABBEVILLE,ARRIVÉ,15
TER,847428,12h57,BEAUVAIS,ARRIVÉ,18
TER,849922,13h00,LAON,,17
TER,847818,13h11,COMPIEGNE,,
Eurostar,9018,13h47,LONDON,,
Eurostar,9018,13h47,ST PANCRAS,,
TER,848518,13h50,ST-JUST,,
Intercités,12316,13h53,MAUBEUGE,,
TER,847430,13h57,BEAUVAIS,,
Thalys,9338,14h05,BRUXELLES-M.,,
TGV,7124,14h08,VALENCIENNES,,
TER,847614,14h11,CREIL,,
,7550,14h14,BOULOGNE,,
,7552,14h14,DUNKERQUE-V.,,
TER,849928,14h17,LAON,,
Intercités,12020,14h32,AMIENS,,
