Type,Num,Heure,Destination,Information,Voie
TER,849930,15h42,LAON,,20
Eurostar,9024,15h47,LONDON,,5
Eurostar,9024,15h47,ST PANCRAS,,5
TER,847434,15h57,BEAUVAIS,,
Thalys,9448,15h59,ESSEN,Retard : 25 mn,
TGV,7136,16h08,VALENCIENNES,,
TGV,7336,16h08,DUNKERQUE-V.,,
TER,847616,16h11,CREIL,,
TGV,7058,16h14,LILLE FLANDR,,
TER,848522,16h32,AMIENS,,
Thalys,9452,16h35,BRUXELLES,,
Thalys,9352,16h35,AMSTERDAM,,
,9028,16h47,LONDON,,
,9028,16h47,ST PANCRAS,,
Intercités,2022,16h56,BOULOGNE-V.,,
TER,847822,17h11,COMPIEGNE,,
TGV,7066,17h14,LILLE FLANDR,,
Intercités,12322,17h23,MAUBEUGE,,
Thalys,9358,17h35,BRUXELLES-M.,,
,7070,17h44,LILLE FLANDR,,
