Type,Num,Heure,Destination,Information,Voie
Eurostar,9040,19h47,LONDON,ARRIVÉ,6
Eurostar,9040,19h47,ST PANCRAS,ARRIVÉ,6
Thalys,9472,19h59,KOLN,ARRIVÉ,7
TER,847828,20h11,COMPIEGNE,ARRIVÉ,11
TGV,7288,20h14,DUNKERQUE-V.,,13
TER,847842,20h32,COMPIEGNE,,
Thalys,9476,20h35,BRUXELLES,"Retard : 20 <abbr title=""minute"">mn</abbr>",
Thalys,9376,20h35,AMSTERDAM,"Retard : 20 <abbr title=""minute"">mn</abbr>",
,7290,20h41,BOULOGNE-V.,,
TER,849944,20h42,LAON,,
Eurostar,9044,20h47,LONDON,,
Eurostar,9044,20h47,ST PANCRAS,,
TER,847914,20h53,ST-QUENTIN,,
TGV,7154,21h08,VALENCIENNES,,
Eurostar,9046,21h17,LONDON,,
Eurostar,9046,21h17,ST PANCRAS,,
TER,847454,21h27,BEAUVAIS,,
Intercités,12034,21h32,AMIENS,,
Thalys,9382,21h38,AMSTERDAM,,
TER,847830,21h41,COMPIEGNE,,
