Type,Num,Heure,Destination,Information,Voie
TGV,7154,21h08,VALENCIENNES,RETARD INDÉTERMINÉ,11
Eurostar,9046,21h17,LONDON,Retard : 20 mn,5
Eurostar,9046,21h17,ST PANCRAS,Retard : 20 mn,5
TER,847454,21h27,BEAUVAIS,,
Intercités,12034,21h32,AMIENS,,
Thalys,9382,21h38,AMSTERDAM,,
TER,847830,21h41,COMPIEGNE,,
,9048,21h47,LONDON,Retard : 20 mn,
,9048,21h47,ST PANCRAS,Retard : 20 mn,
Intercités,12332,21h53,MAUBEUGE,,
TER,849946,21h58,LAON,,
Thalys,9484,21h59,ESSEN,,
Eurostar,9050,22h17,LONDON,,
Eurostar,9050,22h17,ST PANCRAS,,
Thalys,9488,22h35,BRUXELLES,,
Thalys,9388,22h35,AMSTERDAM,,
TGV,7096,22h38,LILLE FLANDR,,
TER,849950,22h57,LAON,,
Eurostar,9054,23h17,LONDON,,
Eurostar,9054,23h17,ST PANCRAS,,
