Type,Num,Heure,Destination,Information,Voie
Intercités,2006,07h56,BOULOGNE-V.,ARRIVÉ,16
,7008,08h02,LILLE FLANDR,ARRIVÉ,10
TGV,7102,08h08,VALENCIENNES,Retard : 10 mn,14
TGV,7302,08h08,DUNKERQUE-V.,Retard : 10 mn,14
TER,847808,08h11,COMPIEGNE,,15
,7216,08h14,CALAIS-VILLE,,11
TGV,7214,08h14,DUNKERQUE-V.,,11
TER,847844,08h17,COMPIEGNE,,19
TER,847416,08h23,BEAUVAIS,,
TER,847608,08h23,CREIL,,
TER,849908,08h26,LAON,,
Intercités,2304,08h29,CAMBRAI,,
TER,848510,08h32,AMIENS,,
Thalys,9304,08h35,BRUXELLES-M.,,
TGV,7304,08h38,HAZEBROUCK,,
TER,847622,08h41,CREIL,,
,7020,08h44,LILLE FLANDR,,
TER,847610,08h50,CREIL,,
TER,847906,08h53,ST-QUENTIN,,
TER,847420,08h55,BEAUVAIS,,
