Type,Num,Heure,Destination,Information,Voie
TGV,7304,08h38,HAZEBROUCK,ARRIVÉ,13
TER,847622,08h41,CREIL,ARRIVÉ,15
,7020,08h44,LILLE FLANDR,,11
TER,847610,08h50,CREIL,,18
TER,847906,08h53,ST-QUENTIN,,14
TER,847420,08h55,BEAUVAIS,,20
Intercités,12010,08h57,AMIENS,,
Thalys,9406,08h59,LIEGE,,9
Thalys,9308,09h05,OOSTENDE,,
,7106,09h08,VALENCIENNES,,
TER,847810,09h11,COMPIEGNE,,
,7228,09h14,RANGDUFLIERS,,
,9080,09h17,LONDON,,
,9080,09h17,ST PANCRAS,,
Intercités,12308,09h23,MAUBEUGE,,
TER,849912,09h27,LAON,,
Thalys,9410,09h35,BRUXELLES,,
Thalys,9310,09h35,AMSTERDAM,,
Intercités,12012,09h41,AMIENS,,
,7530,09h44,DUNKERQUE-V.,,
