Type,Num,Heure,Destination,Information,Voie
TER,847416,08h23,BEAUVAIS,ARRIVÉ,21
TER,847608,08h23,CREIL,ARRIVÉ,9
TER,849908,08h26,LAON,ARRIVÉ,18
Intercités,2304,08h29,CAMBRAI,ARRIVÉ,12
TER,848510,08h32,AMIENS,,10
Thalys,9304,08h35,BRUXELLES-M.,,8
TGV,7304,08h38,HAZEBROUCK,,13
TER,847622,08h41,CREIL,,
,7020,08h44,LILLE FLANDR,,
TER,847610,08h50,CREIL,,
TER,847906,08h53,ST-QUENTIN,,
TER,847610,08h50,CREIL,,
TER,847906,08h53,ST-QUENTIN,,
TER,847420,08h55,BEAUVAIS,,
Intercités,12010,08h57,AMIENS,,
Thalys,9406,08h59,LIEGE,,
Thalys,9308,09h05,OOSTENDE,,
,7106,09h08,VALENCIENNES,,
TER,847810,09h11,COMPIEGNE,,
,7228,09h14,RANGDUFLIERS,,
