Type,Num,Heure,Destination,Information,Voie
Intercités,12034,21h32,AMIENS,ARRIVÉ,18
Thalys,9382,21h38,AMSTERDAM,ARRIVÉ,8
TER,847830,21h41,COMPIEGNE,,19
,7094,21h44,LILLE FLANDR,,14
Intercités,12332,21h53,MAUBEUGE,Retard : 01 h 00 mn,
TER,849946,21h58,LAON,,
Thalys,9484,21h59,ESSEN,,
TGV,7356,22h08,DUNKERQUE-V.,,
Eurostar,9050,22h17,LONDON,,
Eurostar,9050,22h17,ST PANCRAS,,
Thalys,9488,22h35,BRUXELLES,,
Thalys,9388,22h35,AMSTERDAM,,
TGV,7096,22h38,LILLE FLANDR,,
TER,849950,22h57,LAON,,
Eurostar,9054,23h17,LONDON,,
Eurostar,9054,23h17,ST PANCRAS,,
TER,848536,23h32,BRETEUIL-EMB,,
TER,847412,07h43,BEAUVAIS,,
TGV,7406,07h44,LILLE FLANDR,,
TGV,7206,07h44,TOURCOING,,
