Type,Num,Heure,Destination,Information,Voie
,7094,21h44,LILLE FLANDR,ARRIVÉ,14
,9048,21h47,LONDON,ARRIVÉ,5
,9048,21h47,ST PANCRAS,ARRIVÉ,5
Intercités,12332,21h53,MAUBEUGE,Retard : 01 h 00 mn,15
TER,849946,21h58,LAON,ARRIVÉ,17
Thalys,9484,21h59,ESSEN,,10
TGV,7356,22h08,DUNKERQUE-V.,,12
Eurostar,9050,22h17,LONDON,,
Eurostar,9050,22h17,ST PANCRAS,,
Thalys,9488,22h35,BRUXELLES,,
Thalys,9388,22h35,AMSTERDAM,,
TGV,7096,22h38,LILLE FLANDR,,
TER,849950,22h57,LAON,,
Eurostar,9054,23h17,LONDON,,
Eurostar,9054,23h17,ST PANCRAS,,
TER,848536,23h32,BRETEUIL-EMB,,
TER,847412,07h43,BEAUVAIS,,
TGV,7406,07h44,LILLE FLANDR,,
TGV,7206,07h44,TOURCOING,,
TER,848506,07h50,AMIENS,,
