Type,Num,Heure,Destination,Information,Voie
TGV,7406,07h44,LILLE FLANDR,ARRIVÉ,12
TGV,7206,07h44,TOURCOING,ARRIVÉ,12
TER,847806,07h47,COMPIEGNE,ARRIVÉ,15
TER,848504,07h50,AMIENS,,17
TER,847904,07h53,ST-QUENTIN,,18
TER,847414,07h55,BEAUVAIS,,21
Intercités,2006,07h56,BOULOGNE-V.,,16
,7008,08h02,LILLE FLANDR,,
TGV,7102,08h08,VALENCIENNES,,
TGV,7302,08h08,DUNKERQUE-V.,,
TER,847808,08h11,COMPIEGNE,,
,7216,08h14,CALAIS-VILLE,,
TGV,7214,08h14,DUNKERQUE-V.,,
TER,847844,08h17,COMPIEGNE,,
TER,847416,08h23,BEAUVAIS,,
TER,847608,08h23,CREIL,,
TER,849908,08h26,LAON,,
Intercités,2304,08h29,CAMBRAI,,
TER,848510,08h32,AMIENS,,
Thalys,9304,08h35,BRUXELLES-M.,,
