Type,Numéro,Destination,Horaire
Transilien,23467,Pontoise,12h11
Transilien,RER B,Aéroport Charles-de-Gaulle 2,12h12
Transilien,RER D,Melun,12h12
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,12h12
Transilien,21537,Crépy en Valois,12h13
Transilien,RER B,Robinson,12h14
Transilien,RER D,Goussainville,12h17
Transilien,RER E,Haussmann Saint-Lazare,12h17
Transilien,25213,Montsoult-Maffliers,12h19
Transilien,RER E,Chelles-Gournay,12h20
Transilien,RER B,St-Rémy-les-Chevreuse,12h20
Transilien,RER B,Mitry-Claye,12h21
Transilien,RER B,Massy Palaiseau RER,12h23
Transilien,RER E,Tournan,12h24
Thalys,9339,Amsterdam CS,12h25
Intercités,12011,Amiens,12h28
Eurostar,9029,London St. Pancras EST,12h43
TGV,7043,Lille-Flandres,12h46
TER,47807,Compiègne,12h49
TGV,7321,Dunkerque,12h52
Thalys,9341,Bruxelles Midi,12h55
TER,47421,Beauvais,13h01
TER,49921,Laon,13h26
Intercités,2013,Abbeville,13h59
TER,47905,Saint-Quentin,14h07
TGV,7131,Valenciennes,14h52
