Type,Numéro,Destination,Horaire
Transilien,RER E,Chelles-Gournay,16h31
TER,49927,Laon,16h31
Transilien,RER D,Goussainville,16h32
Transilien,RER E,Haussmann Saint-Lazare,16h33
TER,47429,Beauvais,16h35
Transilien,RER B,St-Rémy-les-Chevreuse,16h35
Transilien,RER D,Corbeil-Essonnes,16h36
Transilien,RER B,Mitry-Claye,16h36
Intercités,12313,Maubeuge,16h37
Transilien,RER D,Orry la Ville-Coye,16h38
Transilien,RER B,Orsay Ville,16h38
Transilien,24329,Valmondois,16h38
TGV,7265,Rang du Fliers-Verton,16h46
TER,47813,Compiègne,16h49
TGV,7137,Valenciennes,16h52
Thalys,9365,Bruxelles Midi,16h55
Intercités,2017,Boulogne-Ville,17h01
TER,47909,Saint-Quentin,17h04
TER,48523,Amiens,17h07
Eurostar,9047,London St. Pancras EST,17h13
TGV,7067,Lille-Flandres,17h16
TGV,7339,Dunkerque,17h22
Thalys,9369,Amsterdam CS,17h25
Intercités,2315,Cambrai,17h37
Thalys,9473,Essen Hbf,17h58
TGV,7271,Tourcoing,18h16
