Type,Numéro,Destination,Horaire
Transilien,RER D,Corbeil-Essonnes,17h51
Transilien,RER B,Mitry-Claye,17h51
Transilien,RER E,Haussmann Saint-Lazare,17h51
Transilien,RER E,Tournan,17h51
TGV,7141,Valenciennes,17h52
Transilien,RER B,Massy Palaiseau RER,17h53
Transilien,RER D,Orry la Ville-Coye,17h53
Transilien,24653,Persan-Beaumont,17h53
Transilien,RER B,Aéroport Charles-de-Gaulle 2,17h54
Transilien,RER E,Chelles-Gournay,17h54
Transilien,25475,Luzarches,17h55
Transilien,23535,Pontoise,17h56
Transilien,RER B,Robinson,17h56
Transilien,RER D,Melun,17h57
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,17h57
Thalys,9473,Essen Hbf,17h58
Eurostar,9051,London St. Pancras EST,18h13
TGV,7471,Lille-Flandres,18h16
TGV,7271,Tourcoing,18h16
TGV,7343,Hazebrouck,18h22
Thalys,9375,Ostende,18h25
TGV,7277,Boulogne-Ville,18h46
TGV,7345,Dunkerque,18h52
Thalys,9377,Bruxelles Midi,18h55
Thalys,9381,Amsterdam CS,19h25
Thalys,9483,Liège-Guillemins,19h34
