Type,Numéro,Destination,Horaire
Thalys,9319,Bruxelles Midi,09h01
Transilien,RER E,Chelles-Gournay,09h01
Transilien,RER D,Goussainville,09h02
Transilien,RER B,Laplace,09h02
Transilien,RER B,Mitry-Claye,09h03
Transilien,RER E,Haussmann Saint-Lazare,09h03
Transilien,RER B,St-Rémy-les-Chevreuse,09h05
Transilien,RER D,Corbeil-Essonnes,09h06
Intercités,12305,Saint-Quentin,09h07
Transilien,RER B,Massy Palaiseau RER,09h08
Transilien,RER D,Orry la Ville-Coye,09h08
Transilien,RER B,La Plaine-Stade-de-France,09h09
TER,48505,Amiens,09h10
Eurostar,9015,London St. Pancras EST,09h13
TGV,7223,Calais-Ville,09h46
TER,49915,Laon,09h55
Intercités,2009,Boulogne-Ville,09h58
TER,47415,Beauvais,10h01
Thalys,9327,Amsterdam CS,10h25
Intercités,12307,Maubeuge,10h37
TGV,7033,Lille-Flandres,10h46
TER,47805,Compiègne,10h49
TGV,7113,Valenciennes,10h52
TER,48507,Saint-Just en Chaussée,11h10
TGV,7535,Rang du Fliers-Verton,11h46
Thalys,9437,Essen Hbf,12h01
TER,47609,Creil,12h10
