Type,Numéro,Destination,Horaire
Thalys,9361,Bruxelles Midi,16h01
Thalys,9461,Cologne Hbf,16h01
Intercités,12015,Amiens,16h04
TER,47427,Beauvais,16h05
TER,47907,Saint-Quentin,16h07
TER,48517,Saint-Just en Chaussée,16h10
Eurostar,9043,London St. Pancras EST,16h13
TGV,7061,Lille-Flandres,16h16
TER,49927,Laon,16h31
Intercités,12313,Maubeuge,16h37
TGV,7265,Rang du Fliers-Verton,16h46
TER,47813,Compiègne,16h49
TGV,7137,Valenciennes,16h52
Intercités,2017,Boulogne-Ville,17h01
TGV,7339,Dunkerque,17h22
Thalys,9369,Amsterdam CS,17h25
