Type,Numéro,Destination,Horaire
Transilien,23541,Pontoise,18h11
Transilien,RER B,St-Rémy-les-Chevreuse,18h11
Transilien,RER B,Aéroport Charles-de-Gaulle 2,18h12
Transilien,RER D,Melun,18h12
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,18h12
Eurostar,9051,London St. Pancras EST,18h13
Transilien,RER E,Haussmann Saint-Lazare,18h13
Transilien,25093,Sarcelles Saint-Brice,18h13
Transilien,RER D,Villiers le Bel-Gonesse,18h13
Transilien,RER B,Orsay Ville,18h14
Transilien,RER D,Malesherbes,18h15
Transilien,RER B,Mitry-Claye,18h15
Transilien,24027,Saint-Leu la Forêt,18h15
Transilien,RER E,Chelles-Gournay,18h16
TGV,7471,Lille-Flandres,18h16
TGV,7271,Tourcoing,18h16
Transilien,RER D,Goussainville,18h17
Transilien,RER B,Massy Palaiseau RER,18h17
TER,47819,Compiègne,18h19
TGV,7343,Hazebrouck,18h22
Thalys,9375,Ostende,18h25
TER,48529,Longueau,18h28
TER,47441,Beauvais,18h35
Intercités,12319,Maubeuge,18h37
TGV,7277,Boulogne-Ville,18h46
TER,49935,Laon,18h51
TGV,7345,Dunkerque,18h52
TGV,7145,Valenciennes,18h52
Thalys,9377,Bruxelles Midi,18h55
Intercités,12321,Saint-Quentin,19h07
TER,48533,Breteuil Embranchement,19h10
Thalys,9381,Amsterdam CS,19h25
Intercités,12023,Amiens,19h28
Thalys,9483,Liège-Guillemins,19h34
