Type,Numéro,Destination,Horaire
Transilien,23513,Pontoise,17h11
Transilien,RER B,St-Rémy-les-Chevreuse,17h11
Transilien,RER B,Aéroport Charles-de-Gaulle 2,17h12
Transilien,RER D,Melun,17h12
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,17h12
Eurostar,9047,London St. Pancras EST,17h13
Transilien,RER E,Haussmann Saint-Lazare,17h13
Transilien,25081,Sarcelles Saint-Brice,17h13
Transilien,RER D,Villiers le Bel-Gonesse,17h13
Transilien,RER B,Orsay Ville,17h14
Transilien,21571,Crépy en Valois,17h15
Transilien,RER D,La Ferté-Alais,17h15
Transilien,RER B,Mitry-Claye,17h15
Transilien,24019,Saint-Leu la Forêt,17h15
Transilien,RER E,Chelles-Gournay,17h16
TGV,7067,Lille-Flandres,17h16
TER,47815,Compiègne,17h19
TGV,7339,Dunkerque,17h22
Thalys,9369,Amsterdam CS,17h25
Thalys,9469,Bruxelles Midi,17h25
TER,48525,Amiens,17h28
TER,47435,Beauvais,17h35
Intercités,2315,Cambrai,17h37
TGV,7569,Rang du Fliers-Verton,17h46
TER,49931,Laon,17h51
TGV,7141,Valenciennes,17h52
Thalys,9473,Essen Hbf,17h58
TER,47911,Saint-Quentin,18h04
TGV,7271,Tourcoing,18h16
TGV,7343,Hazebrouck,18h22
Thalys,9375,Ostende,18h25
TER,48529,Longueau,18h28
Intercités,12319,Maubeuge,18h37
TGV,7277,Boulogne-Ville,18h46
