Type,Numéro,Destination,Horaire
Transilien,RER D,Goussainville,21h32
Transilien,RER E,Haussmann Saint-Lazare,21h32
Transilien,25793,Persan-Beaumont,21h34
Transilien,RER E,Chelles-Gournay,21h35
Transilien,RER B,St-Rémy-les-Chevreuse,21h35
Transilien,RER D,Corbeil-Essonnes,21h36
Transilien,RER B,Mitry-Claye,21h36
Transilien,RER B,Massy Palaiseau RER,21h38
Transilien,23595,Pontoise,21h41
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,21h42
Transilien,RER B,Robinson,21h44
Thalys,9395,Bruxelles Midi,21h55
TGV,7097,Lille-Flandres,22h21
TER,48543,Breteuil Embranchement,22h28
TER,47919,Saint-Quentin,22h37
Thalys,9401,Essen Hbf,06h01
TER,49903,Laon,06h03
TER,47401,Beauvais,06h05
Thalys,9303,Amsterdam CS,06h25
Thalys,9403,Bruxelles-National-Aéroport,06h25
Intercités,12001,Amiens,06h28
TGV,7505,Boulogne-Ville,06h46
TGV,7205,Dunkerque,06h46
TER,47801,Compiègne,06h49
Intercités,2003,Abbeville,06h58
TER,48501,Saint-Just en Chaussée,07h10
Eurostar,9007,London St. Pancras EST,07h13
TER,47601,Creil,07h31
Intercités,12301,Maubeuge,07h37
