Type,Numéro,Destination,Horaire
Transilien,RER B,Mitry-Claye,15h21
Transilien,RER B,Massy Palaiseau RER,15h23
Transilien,RER E,Haussmann Saint-Lazare,15h24
Transilien,RER E,Tournan,15h24
Transilien,24633,Persan-Beaumont,15h26
Transilien,RER B,Aéroport Charles-de-Gaulle 2,15h27
Transilien,RER D,Melun,15h27
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,15h27
Transilien,RER D,Villiers le Bel-Gonesse,15h28
Transilien,RER B,Robinson,15h29
TER,49925,Laon,15h30
Transilien,RER D,Malesherbes,15h30
Transilien,RER D,Goussainville,15h32
Intercités,12015,Amiens,16h04
TER,47427,Beauvais,16h05
TER,47907,Saint-Quentin,16h07
TER,48517,Saint-Just en Chaussée,16h10
Intercités,12313,Maubeuge,16h37
TER,47813,Compiègne,16h49
Intercités,2017,Boulogne-Ville,17h01
