Type,Numéro,Destination,Horaire
Transilien,RER D,Goussainville,10h32
Transilien,RER E,Haussmann Saint-Lazare,10h32
Transilien,25739,Persan-Beaumont,10h34
Transilien,RER E,Chelles-Gournay,10h35
Transilien,RER B,St-Rémy-les-Chevreuse,10h35
Transilien,RER D,Corbeil-Essonnes,10h36
Transilien,RER B,Mitry-Claye,10h36
Intercités,12307,Maubeuge,10h37
Transilien,RER B,Massy Palaiseau RER,10h38
Transilien,23461,Pontoise,10h41
Transilien,RER D,Melun,10h42
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,10h42
TGV,7033,Lille-Flandres,10h46
TER,47805,Compiègne,10h49
TGV,7113,Valenciennes,10h52
TER,47417,Beauvais,11h01
TER,48507,Saint-Just en Chaussée,11h10
Eurostar,9023,London St. Pancras EST,11h13
Thalys,9333,Bruxelles Midi,11h25
TGV,7535,Rang du Fliers-Verton,11h46
TER,49917,Laon,11h58
Thalys,9437,Essen Hbf,12h01
Intercités,12309,Saint-Quentin,12h07
TER,47609,Creil,12h10
Thalys,9339,Amsterdam CS,12h25
Intercités,12011,Amiens,12h28
TGV,7321,Dunkerque,12h52
Intercités,2013,Abbeville,13h59
