Type,Numéro,Destination,Horaire
Transilien,RER B,Massy Palaiseau RER,08h41
Transilien,23447,Pontoise,08h41
Transilien,RER B,Aéroport Charles-de-Gaulle 2,08h42
Transilien,RER D,Melun,08h42
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,08h42
Eurostar,9013,London St. Pancras EST,08h43
Transilien,RER E,Haussmann Saint-Lazare,08h43
Transilien,25029,Sarcelles Saint-Brice,08h43
Transilien,RER D,Villiers le Bel-Gonesse,08h43
Transilien,RER B,Robinson,08h44
Transilien,RER D,Corbeil-Essonnes,08h45
Transilien,RER B,La Plaine-Stade-de-France,08h45
Transilien,24009,Saint-Leu la Forêt,08h45
Transilien,RER E,Chelles-Gournay,08h46
TGV,7021,Lille-Flandres,08h46
Transilien,RER D,Goussainville,08h47
Transilien,RER B,Laplace,08h47
TER,47803,Compiègne,08h49
TER,47411,Beauvais,08h50
Thalys,9319,Bruxelles Midi,09h01
Intercités,12305,Saint-Quentin,09h07
TER,48505,Amiens,09h10
TGV,7223,Calais-Ville,09h46
TER,49915,Laon,09h55
Intercités,2009,Boulogne-Ville,09h58
Thalys,9327,Amsterdam CS,10h25
Intercités,12307,Maubeuge,10h37
TGV,7113,Valenciennes,10h52
TER,48507,Saint-Just en Chaussée,11h10
TGV,7535,Rang du Fliers-Verton,11h46
Thalys,9437,Essen Hbf,12h01
TER,47609,Creil,12h10
