Type,Numéro,Destination,Horaire
Transilien,23459,Pontoise,10h11
Transilien,RER B,Aéroport Charles-de-Gaulle 2,10h12
Transilien,RER D,Melun,10h12
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,10h12
Eurostar,9019,London St. Pancras EST,10h13
Transilien,RER B,Robinson,10h14
Transilien,RER D,Goussainville,10h17
Transilien,RER E,Haussmann Saint-Lazare,10h17
Transilien,25205,Montsoult-Maffliers,10h19
Transilien,RER E,Chelles-Gournay,10h20
Transilien,RER B,St-Rémy-les-Chevreuse,10h20
Transilien,RER B,Mitry-Claye,10h21
Transilien,RER B,Massy Palaiseau RER,10h23
Transilien,RER E,Tournan,10h24
Thalys,9327,Amsterdam CS,10h25
Intercités,12307,Maubeuge,10h37
TGV,7033,Lille-Flandres,10h46
TER,47805,Compiègne,10h49
TGV,7113,Valenciennes,10h52
TER,47417,Beauvais,11h01
TER,48507,Saint-Just en Chaussée,11h10
Thalys,9333,Bruxelles Midi,11h25
TGV,7535,Rang du Fliers-Verton,11h46
TER,49917,Laon,11h58
Thalys,9437,Essen Hbf,12h01
Intercités,12309,Saint-Quentin,12h07
TER,47609,Creil,12h10
Intercités,12011,Amiens,12h28
TGV,7321,Dunkerque,12h52
Intercités,2013,Abbeville,13h59
