Type,Numéro,Destination,Horaire
Transilien,23477,Pontoise,14h41
Transilien,RER B,Aéroport Charles-de-Gaulle 2,14h42
Transilien,RER D,Melun,14h42
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,14h42
Eurostar,9037,London St. Pancras EST,14h43
Transilien,RER B,Robinson,14h44
TER,49923,Laon,14h46
TGV,7049,Lille-Flandres,14h46
Transilien,RER D,Goussainville,14h47
Transilien,RER E,Haussmann Saint-Lazare,14h47
TER,47809,Compiègne,14h49
Transilien,25223,Montsoult-Maffliers,14h49
Transilien,RER E,Chelles-Gournay,14h50
Transilien,RER B,St-Rémy-les-Chevreuse,14h50
Transilien,RER B,Mitry-Claye,14h51
TGV,7331,Dunkerque,14h52
TGV,7131,Valenciennes,14h52
Transilien,RER B,Massy Palaiseau RER,14h53
Transilien,RER E,Tournan,14h54
Thalys,9357,Amsterdam CS,15h25
TGV,7559,Boulogne-Ville,15h46
Thalys,9361,Bruxelles Midi,16h01
Thalys,9461,Cologne Hbf,16h01
Intercités,12015,Amiens,16h04
TER,47427,Beauvais,16h05
TER,47907,Saint-Quentin,16h07
TER,48517,Saint-Just en Chaussée,16h10
Intercités,12313,Maubeuge,16h37
TGV,7265,Rang du Fliers-Verton,16h46
