Type,Numéro,Destination,Horaire
Transilien,23469,Pontoise,12h41
Transilien,RER B,Aéroport Charles-de-Gaulle 2,12h42
Transilien,RER D,Melun,12h42
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,12h42
Eurostar,9029,London St. Pancras EST,12h43
Transilien,RER B,Robinson,12h44
TGV,7043,Lille-Flandres,12h46
Transilien,RER D,Goussainville,12h47
Transilien,RER E,Haussmann Saint-Lazare,12h47
TER,47807,Compiègne,12h49
Transilien,25215,Montsoult-Maffliers,12h49
Transilien,RER E,Chelles-Gournay,12h50
Transilien,RER B,St-Rémy-les-Chevreuse,12h50
Transilien,RER B,Mitry-Claye,12h51
TGV,7321,Dunkerque,12h52
Transilien,RER B,Massy Palaiseau RER,12h53
Transilien,RER E,Tournan,12h54
Thalys,9341,Bruxelles Midi,12h55
TER,47421,Beauvais,13h01
TER,49921,Laon,13h26
Intercités,2013,Abbeville,13h59
TER,47905,Saint-Quentin,14h07
TER,47613,Creil,14h19
Thalys,9351,Amsterdam CS,14h25
TGV,7131,Valenciennes,14h52
TGV,7559,Boulogne-Ville,15h46
Intercités,12015,Amiens,16h04
TER,48517,Saint-Just en Chaussée,16h10
