Type,Numéro,Destination,Horaire
Transilien,RER D,Corbeil-Essonnes,09h21
Transilien,RER E,Haussmann Saint-Lazare,09h21
Transilien,RER B,La Plaine-Stade-de-France,09h21
Transilien,RER B,Massy Palaiseau RER,09h23
Transilien,RER D,Stade-de-France Saint-Denis,09h23
Transilien,RER B,Aéroport Charles-de-Gaulle 2,09h24
Transilien,RER E,Tournan,09h24
Transilien,RER B,Laplace,09h26
Transilien,24309,Valmondois,09h26
Transilien,RER D,Melun,09h27
Transilien,RER B,Mitry-Claye,09h27
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,09h27
Transilien,RER D,Villiers le Bel-Gonesse,09h28
TGV,7223,Calais-Ville,09h46
TER,49915,Laon,09h55
Intercités,2009,Boulogne-Ville,09h58
TER,47415,Beauvais,10h01
Thalys,9425,Bruxelles Midi,10h01
Eurostar,9019,London St. Pancras EST,10h13
Thalys,9327,Amsterdam CS,10h25
Intercités,12307,Maubeuge,10h37
TGV,7033,Lille-Flandres,10h46
TER,47805,Compiègne,10h49
TGV,7113,Valenciennes,10h52
TER,48507,Saint-Just en Chaussée,11h10
TGV,7535,Rang du Fliers-Verton,11h46
Thalys,9437,Essen Hbf,12h01
Intercités,12309,Saint-Quentin,12h07
TER,47609,Creil,12h10
Intercités,12011,Amiens,12h28
TGV,7321,Dunkerque,12h52
