Type,Numéro,Destination,Horaire
Intercités,12019,Amiens,18h01
Transilien,RER E,Chelles-Gournay,18h01
Transilien,21581,Crépy en Valois,18h01
Transilien,RER D,Goussainville,18h02
Transilien,RER B,Orsay Ville,18h02
Transilien,RER B,Mitry-Claye,18h03
Transilien,RER E,Haussmann Saint-Lazare,18h03
TER,47911,Saint-Quentin,18h04
TER,47439,Beauvais,18h05
Transilien,RER B,Massy Palaiseau RER,18h05
Transilien,RER D,Corbeil-Essonnes,18h06
Transilien,RER E,Tournan,18h06
Transilien,RER D,Orry la Ville-Coye,18h08
Transilien,RER B,Robinson,18h08
Transilien,24345,Valmondois,18h08
Eurostar,9051,London St. Pancras EST,18h13
TGV,7471,Lille-Flandres,18h16
TGV,7271,Tourcoing,18h16
TER,47819,Compiègne,18h19
TGV,7343,Hazebrouck,18h22
Thalys,9375,Ostende,18h25
TER,48529,Longueau,18h28
Intercités,12319,Maubeuge,18h37
TGV,7277,Boulogne-Ville,18h46
TER,49935,Laon,18h51
TGV,7345,Dunkerque,18h52
TGV,7145,Valenciennes,18h52
Thalys,9377,Bruxelles Midi,18h55
TER,48533,Breteuil Embranchement,19h10
Thalys,9381,Amsterdam CS,19h25
Thalys,9483,Liège-Guillemins,19h34
