Type,Numéro,Destination,Horaire
Transilien,RER B,Mitry-Claye,16h21
Transilien,RER E,Tournan,16h21
Transilien,RER B,Massy Palaiseau RER,16h23
Transilien,RER D,Orry la Ville-Coye,16h23
Transilien,24639,Persan-Beaumont,16h23
Transilien,RER E,Haussmann Saint-Lazare,16h24
Transilien,25461,Luzarches,16h25
Transilien,23493,Pontoise,16h26
Transilien,RER B,Aéroport Charles-de-Gaulle 2,16h27
Transilien,RER D,Melun,16h27
Transilien,RER E,Villiers sur Marne-Le Plessis-Trévise,16h27
Transilien,25073,Sarcelles Saint-Brice,16h28
Transilien,RER D,Villiers le Bel-Gonesse,16h28
TER,49927,Laon,16h31
TER,47429,Beauvais,16h35
Intercités,12313,Maubeuge,16h37
TGV,7265,Rang du Fliers-Verton,16h46
TER,47813,Compiègne,16h49
TGV,7137,Valenciennes,16h52
Thalys,9365,Bruxelles Midi,16h55
Intercités,2017,Boulogne-Ville,17h01
TER,47909,Saint-Quentin,17h04
TER,48523,Amiens,17h07
Eurostar,9047,London St. Pancras EST,17h13
TGV,7067,Lille-Flandres,17h16
TGV,7339,Dunkerque,17h22
Thalys,9369,Amsterdam CS,17h25
Intercités,2315,Cambrai,17h37
Thalys,9473,Essen Hbf,17h58
TGV,7271,Tourcoing,18h16
