Type,Num,Heure,Destination,Information,Voie
Transilien,125789,19h40,PERSAN-BT.,,31
Transilien,123583,19h41,PONTOISE,,35
Transilien,125113,19h43,SARCELLES,,30
Transilien,124039,19h45,ST-LEU,,34
,7083,19h46,LILLE FLANDR,,13
TER,847823,19h49,COMPIEGNE,,7
TGV,7151,19h52,VALENCIENNES,,11
Transilien,124677,19h56,PERSAN-BT.,,35
TER,847449,20h01,BEAUVAIS,,
Intercités,12025,20h04,AMIENS,,
Transilien,125493,20h04,LUZARCHES,,
TER,847913,20h07,ST-QUENTIN,,
TER,849937,20h08,LAON,,
TER,848537,20h10,ST-JUST,,
Transilien,123589,20h11,PONTOISE,,
Transilien,121635,20h13,CREPY,,
Eurostar,9059,20h13,LONDON,,
Transilien,125119,20h19,SARCELLES,,
Transilien,124679,20h26,PERSAN-BT.,,
Intercités,12027,20h28,ST JUST,,
