Type,Num,Heure,Destination,Information,Voie
Transilien,125099,18h43,SARCELLES,,30
Eurostar,9053,18h43,LONDON ST P.,,..
Transilien,124031,18h45,ST-LEU,,34
TGV,7277,18h46,BOULOGNE,,12
TER,847821,18h49,COMPIEGNE,,13
TER,849935,18h51,LAON,,18
,7345,18h52,DUNKERQUE,,14
TGV,7145,18h52,VALENCIENNES,,14
Transilien,124667,18h53,PERSAN-BT.,,36
Transilien,124667,18h53,VIA VALMOND,,36
Transilien,125485,18h55,LUZARCHES,,31
Thalys,9377,18h55,BRUXELLES-M.,,7
Transilien,123563,18h56,PONTOISE,,35
Transilien,125103,18h58,SARCELLES,,30
Transilien,121621,19h00,CREPY,,32
Transilien,124033,19h00,ST-LEU,,34
Intercités,2021,19h04,BOULOGNE-V.,,
TER,847445,19h05,BEAUVAIS,,
Intercités,12321,19h07,ST-QUENTIN,,
Transilien,124353,19h08,VALMONDOIS,,
