Type,Num,Heure,Destination,Information,Voie
,7345,18h52,DUNKERQUE,,14
TGV,7145,18h52,VALENCIENNES,,14
Transilien,124667,18h53,PERSAN-BT.,,36
Transilien,124667,18h53,VIA VALMOND,,36
Transilien,125485,18h55,LUZARCHES,,31
Thalys,9377,18h55,BRUXELLES-M.,,7
Transilien,123563,18h56,PONTOISE,,35
Transilien,125103,18h58,SARCELLES,,30
Transilien,121621,19h00,CREPY,,32
Transilien,124033,19h00,ST-LEU,,34
Intercités,2021,19h04,BOULOGNE-V.,,11
TER,847445,19h05,BEAUVAIS,,
Intercités,12321,19h07,ST-QUENTIN,,10
Transilien,124353,19h08,VALMONDOIS,,36
Transilien,125783,19h10,PERSAN-BT.,,
TER,848533,19h10,CREIL,,
Transilien,123569,19h11,PONTOISE,,
Transilien,125105,19h13,SARCELLES,,
Eurostar,9055,19h13,LONDON,,
Transilien,124035,19h15,ST-LEU,,
