Type,Num,Heure,Destination,Information,Voie
Thalys,9333,11h25,BRUXELLES-M.,,8
Transilien,124313,11h26,VALMONDOIS,,32
Transilien,125741,11h34,PERSAN-BT.,,30
Transilien,123465,11h41,PONTOISE,,32
TGV,7535,11h46,RANG DU FLIE,,14
Transilien,125211,11h49,MONTSOULT-M.,,30
Transilien,124627,11h56,PERSAN-BT.,,32
TER,849917,11h58,LAON,,18
TER,847419,12h01,BEAUVAIS,,21
Thalys,9437,12h01,ESSEN,,9
Transilien,125447,12h04,LUZARCHES,,30
Intercités,12309,12h07,ST-QUENTIN,,11
TER,847609,12h10,CREIL,,13
Transilien,123467,12h11,PONTOISE,,32
Transilien,121537,12h13,CREPY,,31
Transilien,125213,12h19,MONTSOULT-M.,,30
Thalys,9339,12h25,AMSTERDAM,,8
Transilien,124315,12h26,VALMONDOIS,,32
Intercités,12011,12h28,AMIENS,,15
Transilien,125743,12h34,PERSAN-BT.,,30
Transilien,123469,12h41,PONTOISE,,32
Eurostar,9029,12h43,LONDON ST P.,,..
TGV,7043,12h46,LILLE FLANDR,,12
Transilien,125215,12h49,MONTSOULT-M.,,30
TER,847807,12h49,COMPIEGNE,,17
TGV,7321,12h52,DUNKERQUE,,9
TGV,7121,12h52,VALENCIENNES,,9
Thalys,9341,12h55,BRUXELLES-M.,,8
Transilien,124629,12h56,PERSAN-BT.,,32
Transilien,124629,12h56,VIA VALMOND,,32
TER,847421,13h01,BEAUVAIS,,21
Transilien,125449,13h04,LUZARCHES,,30
Transilien,123471,13h11,PONTOISE,,32
Eurostar,9031,13h13,LONDON,,..
TGV,7045,13h16,LILLE FLANDR,,14
Transilien,125217,13h19,MONTSOULT-M.,,30
Transilien,124317,13h26,VALMONDOIS,,32
TER,849921,13h26,LAON,,19
Transilien,125745,13h34,PERSAN-BT.,,31
Transilien,123473,13h41,PONTOISE,,32
Transilien,125219,13h49,MONTSOULT-M.,,30
Transilien,124319,13h56,VALMONDOIS,,32
Intercités,2013,13h59,ABBEVILLE,,15
TER,847423,14h01,BEAUVAIS,,18
Transilien,125451,14h04,LUZARCHES,,31
TER,847905,14h07,ST-QUENTIN,,13
Transilien,123475,14h11,PONTOISE,,32
Transilien,125221,14h19,MONTSOULT-M.,,30
TER,847613,14h19,CREIL,,19
Thalys,9451,14h25,BRUXELLES-M.,,8
Thalys,9351,14h25,AMSTERDAM,,8
Transilien,124321,14h26,VALMONDOIS,,32
Transilien,125747,14h34,PERSAN-BT.,,31
Intercités,12311,14h37,ST-QUENTIN,,16
Transilien,123477,14h41,PONTOISE,,32
Eurostar,9037,14h43,LONDON ST P.,,..
TER,849923,14h46,LAON,,21
TGV,7049,14h46,LILLE FLANDR,,12
Transilien,125223,14h49,MONTSOULT-M.,,30
TER,847809,14h49,COMPIEGNE,,7
TGV,7331,14h52,DUNKERQUE,,14
TGV,7131,14h52,VALENCIENNES,,14
Transilien,124631,14h56,PERSAN-BT.,,34
Transilien,125453,15h04,LUZARCHES,,30
Transilien,123479,15h11,PONTOISE,,34
Eurostar,9039,15h13,LONDON,,..
TGV,7053,15h16,LILLE FLANDR,,11
Transilien,125225,15h19,MONTSOULT-M.,,30
Thalys,9357,15h25,AMSTERDAM,,9
Transilien,124633,15h26,PERSAN-BT.,,34
TER,849925,15h30,LAON,,20
Transilien,125749,15h34,PERSAN-BT.,,30
Transilien,123481,15h41,PONTOISE,,34
TGV,7559,15h46,BOULOGNE,,14
Transilien,125455,15h49,LUZARCHES,,31
Transilien,124635,15h56,PERSAN-BT.,,34
Transilien,125067,15h58,SARCELLES,,33
Thalys,9361,16h01,BRUXELLES-M.,,8
Thalys,9461,16h01,KOLN,,8
Intercités,12015,16h04,AMIENS,,7
TER,847427,16h05,BEAUVAIS,,19
TER,847907,16h07,ST-QUENTIN,,9
Transilien,121551,16h09,CREPY,,32
Transilien,125753,16h10,PERSAN-BT.,,30
TER,848517,16h10,ST-JUST,,10
Transilien,123485,16h11,PONTOISE,,36
Transilien,125069,16h13,SARCELLES,,21
Eurostar,9043,16h13,LONDON,,..
Transilien,124011,16h15,ST-LEU,,33
TGV,7061,16h16,LILLE FLANDR,,13
TGV,7335,16h22,DUNKERQUE,,12
TGV,7435,16h22,ARRAS,SUPPRIMÉ,
Transilien,124639,16h23,PERSAN-BT.,,35
Transilien,124639,16h23,VIA VALMOND,,35
Transilien,125461,16h25,LUZARCHES,,32
Transilien,123493,16h26,PONTOISE,,36
Transilien,125073,16h28,SARCELLES,,31
Transilien,124013,16h30,ST-LEU,,33
TER,849927,16h31,LAON,,20
TER,847429,16h35,BEAUVAIS,,21
Intercités,12313,16h37,MAUBEUGE,,16
Transilien,124329,16h38,VALMONDOIS,,36
Transilien,125759,16h40,PERSAN-BT.,,30
Transilien,123499,16h41,PONTOISE,,35
Transilien,125075,16h43,SARCELLES,,31
